,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Date,Time,Year,Month
156,2018-11-14 04:03:47,37.6S,83.5E,37.0,,,,,38000000000.0,0.13,2018-11-14,04:03:47,2018,November
157,2018-10-24 21:19:07,6.7S,148.6W,33.3,,,,,47000000000.0,0.16,2018-10-24,21:19:07,2018,October
158,2018-10-22 07:11:03,,,,,,,,26000000000.0,0.092,2018-10-22,07:11:03,2018,October
159,2018-10-05 00:27:04,39.8S,31.7W,31.5,14.7,-13.2,-6.5,-0.4,38000000000.0,0.13,2018-10-05,00:27:04,2018,October
160,2018-09-25 14:10:33,23.5S,56.8E,33.0,16.5,-16.2,2.8,0.6,806000000000.0,1.9,2018-09-25,14:10:33,2018,September
161,2018-09-25 00:16:59,34.3S,44.9E,40.7,12.5,-11.0,2.5,-5.5,53000000000.0,0.17,2018-09-25,00:16:59,2018,September
162,2018-09-20 18:29:03,67.3S,75.1E,,11.1,-5.6,-7.9,5.5,83000000000.0,0.26,2018-09-20,18:29:03,2018,September
163,2018-09-17 01:08:02,6.8S,27.8W,,,,,,150000000000.0,0.43,2018-09-17,01:08:02,2018,September
164,2018-09-13 00:51:21,42.5N,50.1W,,,,,,42000000000.0,0.14,2018-09-13,00:51:21,2018,September
165,2018-08-27 04:36:45,1.7S,141.4E,33.0,16.1,9.8,-9.6,-8.4,24000000000.0,0.086,2018-08-27,04:36:45,2018,August
166,2018-08-21 12:26:14,39.2S,162.9W,37.0,,,,,22000000000.0,0.079,2018-08-21,12:26:14,2018,August
167,2018-07-27 09:35:14,58.8S,105.8E,32.0,,,,,105000000000.0,0.32,2018-07-27,09:35:14,2018,July
168,2018-07-25 21:55:26,76.9N,69.0W,43.3,24.4,20.4,12.9,-3.8,877000000000.0,2.1,2018-07-25,21:55:26,2018,July
169,2018-07-17 15:17:37,82.5N,136.7W,,,,,,211000000000.0,0.59,2018-07-17,15:17:37,2018,July
170,2018-06-26 17:51:53,32.0N,12.1E,63.0,14.1,-10.0,-1.0,-9.9,29000000000.0,0.1,2018-06-26,17:51:53,2018,June
171,2018-06-21 01:16:20,52.8N,38.1E,27.2,14.4,-8.9,-4.3,-10.5,1224000000000.0,2.8,2018-06-21,01:16:20,2018,June
172,2018-06-02 16:44:12,21.2S,23.3E,28.7,16.9,0.9,-16.4,3.9,375000000000.0,0.98,2018-06-02,16:44:12,2018,June
173,2018-05-12 03:26:46,6.5S,173.7E,34.0,,,,,193000000000.0,0.54,2018-05-12,03:26:46,2018,May
174,2018-05-08 02:27:13,32N,60.7W,,,,,,73000000000.0,0.23,2018-05-08,02:27:13,2018,May
175,2018-05-03 07:23:59,46.9N,7.5W,39.0,11.5,1.3,-2.1,-11.2,38000000000.0,0.13,2018-05-03,07:23:59,2018,May
176,2018-04-30 13:17:57,45.5S,1.4W,34.0,13.1,8.7,-9.5,2.5,30000000000.0,0.1,2018-04-30,13:17:57,2018,April
177,2018-04-21 12:06:04,59.0S,45.8E,28.2,14.6,7.1,-4.6,11.9,36000000000.0,0.12,2018-04-21,12:06:04,2018,April
178,2018-04-19 14:02:27,7.5N,3.6E,30.0,20.9,-9.1,-2.5,18.6,72000000000.0,0.23,2018-04-19,14:02:27,2018,April
179,2018-04-19 13:39:38,22.2S,72.6E,31.5,10.9,-5.9,-9.1,1.4,512000000000.0,1.3,2018-04-19,13:39:38,2018,April
180,2018-04-07 03:05:09,72.4N,78.7W,31.5,,,,,86000000000.0,0.27,2018-04-07,03:05:09,2018,April
181,2018-02-21 01:28:03,13.5S,37.1W,31.5,13.1,-0.9,13.1,-0.4,71000000000.0,0.22,2018-02-21,01:28:03,2018,February
182,2018-02-15 13:38:22,43.8S,1.1W,50.7,,,,,27000000000.0,0.095,2018-02-15,13:38:22,2018,February
183,2018-02-12 02:15:19,15.9S,58.9W,,,,,,39000000000.0,0.13,2018-02-12,02:15:19,2018,February
184,2018-02-08 22:21:41,42.9N,179.7E,43.5,,,,,259000000000.0,0.7,2018-02-08,22:21:41,2018,February
185,2018-02-01 12:21:36,19.4S,104.3E,37.0,16.5,8.1,-8.4,-11.7,190000000000.0,0.53,2018-02-01,12:21:36,2018,February
186,2018-01-22 22:06:30,14.0N,17.4W,,,,,,32000000000.0,0.11,2018-01-22,22:06:30,2018,January
187,2018-01-15 02:18:38,52.0S,57.2E,43.6,23.7,18.6,-12.1,8.4,199000000000.0,0.56,2018-01-15,02:18:38,2018,January
188,2018-01-06 21:24:22,55.8N,52.5E,26.0,21.0,0.8,2.2,-20.9,28000000000.0,0.098,2018-01-06,21:24:22,2018,January
189,2018-01-06 18:24:28,39.5S,12.8E,26.0,,,,,36000000000.0,0.12,2018-01-06,18:24:28,2018,January
190,2017-12-31 09:36:10,63.5S,101.3W,64.5,,,,,44000000000.0,0.15,2017-12-31,09:36:10,2017,December
191,2017-12-29 12:47:31,14.6N,49.5W,38.0,,,,,110000000000.0,0.33,2017-12-29,12:47:31,2017,December
192,2017-12-28 17:45:44,,,,,,,,114000000000.0,0.34,2017-12-28,17:45:44,2017,December
193,2017-12-15 13:14:37,60.2N,170.0E,20.0,31.4,27.8,-4.7,-13.9,3114000000000.0,6.4,2017-12-15,13:14:37,2017,December
